Rendah,PPD KRIAN,ABA3005,SK DATO' MAS'UD,JALAN KAMPUNG KEDAH,34300,BAGAN SERAI,PERAK,57218013,57210600
Rendah,PPD KRIAN,ABA3006,SK KUALA KURAU,JALAN BESAR KUALA KURAU,34350,KUALA KURAU,PERAK,57277900,57278311
Rendah,PPD KRIAN,ABA3007,SK MATANG GERDU,JALAN SIAKAP,34300,BAGAN SERAI,PERAK,57216541,57219667
Rendah,PPD KRIAN,ABA3008,SK MATANG JELUTONG,"KG MATANG JELUTONG, JALAN SELAMA",34300,BAGAN SERAI,PERAK,57210663,57217186
Rendah,PPD KRIAN,ABA3009,SK PARIT HAJI TAIB,PARIT HAJI TAIB,34300,BAGAN SERAI,PERAK,57140625,57141308
Rendah,PPD KRIAN,ABA3010,SK PARIT HAJI AMAN,PARIT HAJI AMAN,34300,BAGAN SERAI,PERAK,57143405,57141315
Rendah,PPD KRIAN,ABA3011,SK SUNGAI BOGAK,KAMPUNG SUNGAI BOGAK,34300,BAGAN SERAI,PERAK,57214509,57217705
Rendah,PPD KRIAN,ABA3012,SK SRI SIAKAP,SIMPANG TIGA,34350,KUALA KURAU.,PERAK,57277340,57270106
Rendah,PPD KRIAN,ABA3013,SK TEBUK PANCUR,SIMPANG EMPAT,34400,SEMANGGOL,PERAK,58902343,58904497
Rendah,PPD KRIAN,ABA3014,SK TELUK MEDAN,"JALAN TAIPING, TELUK MEDAN",34300,BAGAN SERAI,PERAK,57219190,57210719
Rendah,PPD KRIAN,ABA3015,SK TELOK PIAL,TELOK PIAL,34350,KUALA KURAU,PERAK,57279980,57279980
Rendah,PPD KRIAN,ABA3016,SK JALAN BAHARU,JALAN BAHARU,34200,PARIT BUNTAR,PERAK,57169629,57174314
Rendah,PPD KRIAN,ABA3017,SK HAJI RAMLI,KEDAI EMPAT,34250,TANJONG PIANDANG,PERAK,57162169,57162170
Rendah,PPD KRIAN,ABA3018,SK KAMPONG KEDAH,KAMPONG KEDAH,34200,PARIT BUNTAR,PERAK,57175767,57176907
Rendah,PPD KRIAN,ABA3019,SK SRI KERIAN,JALAN RIA,34200,PARIT BUNTAR,PERAK,57164814,57172640
Rendah,PPD KRIAN,ABA3020,SK PARIT HJ WAHAB,TANJONG PIANDANG,34250,TANJONG PIANDANG,PERAK,57255479,57257535
Rendah,PPD KRIAN,ABA3021,SK PARIT TOK NGAH,JALANBAHARU,34200,PARIT BUNTAR,PERAK,57140205,57175646
Rendah,PPD KRIAN,ABA3022,SK SUNGAI BAHARU,SUNGAI BAHARU,34350,KUALA KURAU.,PERAK,57250807,57256650
Rendah,PPD KRIAN,ABA3023,SK SUNGAI BURONG,PARIT TELOK PIAL,34350,KUALA KURAU,PERAK,57140219,57141389
Rendah,PPD KRIAN,ABA3024,SK SUNGAI STAR,JALAN SEMPADAN,34200,PARIT BUNTAR,PERAK,57167323,57175909
Rendah,PPD KRIAN,ABA3025,SK TANAH KEBUN,TANAH KEBUN,34200,PARIT BUNTAR,PERAK,57173005,57175287
Rendah,PPD KRIAN,ABA3026,SK TANJONG PIANDANG,JALAN ATAS,34250,TANJONG PIANDANG,PERAK,57250228,57255524
Rendah,PPD KRIAN,ABA3027,SK TITI SERONG,TITI SERONG,34200,PARIT BUNTAR,PERAK,57160227,57160227
Rendah,PPD KRIAN,ABA3028,SK SUNGAI MEGAT ARIS,"SUNGAI MEGAT ARIS,BAGAN TIANG, JALAN BAWAH",34250,TANJONG PIANDANG,PERAK,57250411,57250411
Rendah,PPD KRIAN,ABA3029,SK GUNONG SEMANGGOL,"GUNONG SEMANGGOL, SIMPANG EMPAT",34400,SEMANGGOL,PERAK,58901714,58901714
Rendah,PPD KRIAN,ABA3030,SK KAMPONG DEW,KAMPUNG DEW,34400,SIMPANG EMPAT,PERAK,58921928,58921928
Rendah,PPD KRIAN,ABA3031,SK DATO' ALAUDIN,KAMPUNG SELINSING,34400,SIMPANG EMPAT,PERAK,58901711,58901711
